Synonym	current_species_or_subspecies_name
Phrynosoma D platyrhinos calidiarum	Phrynosoma platyrhinos calidiarum
Phrynosoma solaris	Phrynosoma solare
Phrynosoma solare	Phrynosoma solare
Phrynosoma regale	Phrynosoma solare
Phrynosoma Anota solare	Phrynosoma solare
Phrynosoma taurus	Phrynosoma taurus
Phyllodactylus angustidigitus	Phyllodactylus angustidigitus
Phyllodactylus barringtonensis	Phyllodactylus barringtonensis
Phyllodactylus baurii	Phyllodactylus baurii
Phyllodactylus bauri	Phyllodactylus baurii
Phyllodactylus bordai	Phyllodactylus bordai
Phyllodactylus bugastrolepis	Phyllodactylus bugastrolepis
Phyllodactylus clinatus	Phyllodactylus clinatus
Phyllodactylus darwini	Phyllodactylus darwini
Phyllodactylus davisi	Phyllodactylus davisi
Phyllodactylus delcampoi	Phyllodactylus delcampoi
Phyllodactylus delcampi	Phyllodactylus delcampoi
Phyllodactylus dixoni	Phyllodactylus dixoni
Phyllodactylus duellmani	Phyllodactylus duellmani
Phyllodactylus galapagensis	Phyllodactylus galapagensis
Phyllodactylus galapagoensis	Phyllodactylus galapagensis
Diplodactylus gerrhopygus	Phyllodactylus gerrhopygus
Phyllodactylus gymnopygus	Phyllodactylus gerrhopygus
Phyllodactylus gerrhopygus	Phyllodactylus gerrhopygus
Phyllodactylus heterurus	Phyllodactylus gerrhopygus
Phyllodactylus gilberti	Phyllodactylus gilberti
Phyllodactylus homolepidurus	Phyllodactylus homolepidurus
Phyllodactylus homolepidurus homolepidurus	Phyllodactylus homolepidurus
Phyllodactylus homolepidurus nolascoensis	Phyllodactylus homolepidurus nolascoensis
Phyllodactylus inaequalis	Phyllodactylus inaequalis
Phyllodactylus insularis	Phyllodactylus insularis
Phyllodactylus interandinus	Phyllodactylus interandinus
Phyllodactylus johnwrighti	Phyllodactylus johnwrighti
Phyllodactylus julieni	Phyllodactylus julieni
Phyllodactylus kofordi	Phyllodactylus kofordi
Phyllodactylus lanei	Phyllodactylus lanei
Phyllodactylus magnatuberculatus	Phyllodactylus lanei
Phyllodactylus tuberculosus lanei	Phyllodactylus lanei
Phyllodactylus lanei rupinus	Phyllodactylus lanei rupinus
Phyllodactylus leei	Phyllodactylus leei
Diplodactylus lepidopygus	Phyllodactylus lepidopygus
Discodactylus phacophorus	Phyllodactylus lepidopygus
Phyllodactylus nigrofasciatus	Phyllodactylus lepidopygus
Phyllodactylus phacophorus	Phyllodactylus lepidopygus
Phyllodactylus variegatus	Phyllodactylus lepidopygus
Phyllodactylus lepidopygus	Phyllodactylus lepidopygus
Phyllodactylus martini	Phyllodactylus martini
Phyllodactylus microphyllus	Phyllodactylus microphyllus
Phyllodactylus muralis	Phyllodactylus muralis
Phyllodactylus muralis isthmus	Phyllodactylus muralis isthmus
Phyllodactylus palmeus	Phyllodactylus palmeus
Phyllodactylus partitus	Phyllodactylus partidus
Phyllodactylus partidus	Phyllodactylus partidus
Phyllodactylus paucituberculatus	Phyllodactylus paucituberculatus
Phyllodactylus pulcher	Phyllodactylus pulcher
Phyllodactylus spatulatus	Phyllodactylus pulcher
Phyllodactylus pumilus	Phyllodactylus pumilus
Phyllodactylus pumilius	Phyllodactylus pumilus
Phyllodactylus reissii	Phyllodactylus reissii
Phyllodactylus baessleri	Phyllodactylus reissii
Phyllodactylus guayaquilensis	Phyllodactylus reissii
Phyllodactylus abrupteseriatus	Phyllodactylus reissii
Phyllodactylus abrupteseratus sic	Phyllodactylus reissii
Phyllodactylus magister	Phyllodactylus reissii
Phyllodactylus quayaquilensis sic	Phyllodactylus reissii
Phyllodactylus rutteni	Phyllodactylus rutteni
Phyllodactylus sentosus	Phyllodactylus sentosus
Phyllodactylus transversalis	Phyllodactylus transversalis
Phyllodactylus tuberculosus	Phyllodactylus tuberculosus
Phyllodactylus tuberculosus tuberculosus	Phyllodactylus tuberculosus tuberculosus
Phyllodactylus eduardofischeri	Phyllodactylus tuberculosus tuberculosus
Phyllodactylus tuberculosus ingeri	Phyllodactylus tuberculosus ingeri
Phyllodactylus tuberculosus magnus	Phyllodactylus tuberculosus magnus
Phyllodactylus magnatuberculatus	Phyllodactylus tuberculosus magnus
Phyllodactylus magnus	Phyllodactylus tuberculosus magnus
Phyllodactylus tuberculosus saxatilis	Phyllodactylus tuberculosus saxatilis
Diplodactylus unctus	Phyllodactylus unctus
Phyllodactylus unctus	Phyllodactylus unctus
Phyllodactylus ventralis	Phyllodactylus ventralis
Phyllodactylus muelleri	Phyllodactylus ventralis
Phyllodactylus mülleri	Phyllodactylus ventralis
Phyllodactylus underwoodi	Phyllodactylus ventralis
Phyllodactylus wirshingi	Phyllodactylus wirshingi
Phyllodactylus wirshingi hispaniolae	Phyllodactylus wirshingi hispaniolae
Phyllodactylus hispaniolae	Phyllodactylus wirshingi hispaniolae
Phyllodactylus wirshingi sommeri	Phyllodactylus wirshingi sommeri
Phyllodactylus sommeri	Phyllodactylus wirshingi sommeri
Phyllodactylus xanti	Phyllodactylus xanti
Phyllodactylus mentalis	Phyllodactylus xanti
Phyllodactylus nocticolus	Phyllodactylus xanti
Phyllodactylus xanti nocticolus	Phyllodactylus xanti
Phyllodactylus angelensis	Phyllodactylus xanti
Phyllodactylus apricus	Phyllodactylus xanti
Phyllodactylus santacruzensis	Phyllodactylus xanti
Phyllodactylus tinklei	Phyllodactylus xanti
Phyllodactylus xanti acorius	Phyllodactylus xanti acorius
Phyllodactylus xanti angulus	Phyllodactylus xanti acorius
Phyllodactylus xanti circus	Phyllodactylus xanti acorius
Phyllodactylus xanti coronatus	Phyllodactylus xanti acorius
Phyllodactylus xanti estebanensis	Phyllodactylus xanti acorius
Phyllodactylus nocticolus acorius	Phyllodactylus xanti acorius
Phyllodactylus nocticolus angulus	Phyllodactylus xanti acorius
Phyllodactylus nocticolus circus	Phyllodactylus xanti acorius
Phyllodactylus nocticolus estebanensis	Phyllodactylus xanti acorius
Phyllodactylus xanti	Phyllodactylus xanti acorius
Phyllodactylus nocticolus	Phyllodactylus xanti acorius
Phyllodactylus xanti sloani	Phyllodactylus xanti sloani
Phyllodactylus nocticolus sloani	Phyllodactylus xanti sloani
Phyllopezus periosus	Phyllopezus periosus
Thecadactylus pollicaris	Phyllopezus pollicaris
Phyllopezus goyazensis	Phyllopezus pollicaris
Platydactylus Spixii	Phyllopezus pollicaris
Phyllopezus pollicaris	Phyllopezus pollicaris
Phyllopezus pollicaris przewalskyi	Phyllopezus pollicaris przewalskyi
Phyllopezus przewalskii	Phyllopezus pollicaris przewalskyi
Phyllopezus goyazensis	Phyllopezus pollicaris przewalskyi
Phyllopezus pollicaris przewalskii	Phyllopezus pollicaris przewalskyi
Phyllopezus pollicaris	Phyllopezus pollicaris przewalskyi
Phyllopezus pollicaris przewaskii	Phyllopezus pollicaris przewalskyi
Phyllorhynchus browni	Phyllorhynchus browni
Lytorhynchus brownii	Phyllorhynchus browni
Phyllorhynchus browni fortitus	Phyllorhynchus browni
Phyllorhynchus browni klauberi	Phyllorhynchus browni
Phyllorhynchus browni lucidus	Phyllorhynchus browni
Phimothyra decurtata	Phyllorhynchus decurtatus
Salvadora decurtata	Phyllorhynchus decurtatus
Phyllorhynchus decurtatus	Phyllorhynchus decurtatus
Lytorhynchus decurtatus	Phyllorhynchus decurtatus
Phyllorhynchus decurtatus perkinsi	Phyllorhynchus decurtatus
Phyllorhynchus decurtatus nubilus	Phyllorhynchus decurtatus
Phyllorhynchus decurtatus nubilis	Phyllorhynchus decurtatus
Phyllorhynchus decurtatus norrisi	Phyllorhynchus decurtatus
Phyllorhynchus arenicola	Phyllorhynchus decurtatus
Phyllorhynchus decurtatus porelli	Phyllorhynchus decurtatus
Phyllorhynchus decurtatus porelloi	Phyllorhynchus decurtatus
Phyllorhynchus decurtatus arenicola	Phyllorhynchus decurtatus
Phyllorhynchus decurtatus arenicolus	Phyllorhynchus decurtatus
Phyllorhynchus decurtatus decurtatus	Phyllorhynchus decurtatus
Phyllurus caudiannulatus	Phyllurus caudiannulatus
Phyllurus isis	Phyllurus isis
Phyllurus nepthys	Phyllurus nepthys
Phyllurus ossa	Phyllurus ossa
Lacerta Platura	Phyllurus platurus
Stellio phyllurus	Phyllurus platurus
Stellio platurus	Phyllurus platurus
Agama grandoculis	Phyllurus platurus
Geckoides platurus	Phyllurus platurus
Phyllurus spinosus	Phyllurus platurus
Agama platyura	Phyllurus platurus
Agama discosura	Phyllurus platurus
Stellio platuros	Phyllurus platurus
Phyllurus novaehollandiae	Phyllurus platurus
Phyllurus Cuvieri	Phyllurus platurus
Phyllurus whitii	Phyllurus platurus
Phyllurus platurus	Phyllurus platurus
Phyllura discosura	Phyllurus platurus
Phyllura grandoculis	Phyllurus platurus
Gymnodactylus platyurus	Phyllurus platurus
Cyrtodactylus Platura	Phyllurus platurus
Gecko platycaudus	Phyllurus platurus
Gymnodactylus Phyllurus phyllurus	Phyllurus platurus
Gymnodactylus phyllurus	Phyllurus platurus
Phyllurus australis	Phyllurus platurus
Gymnodactylus Phyllurus platurus	Phyllurus platurus
Phyllurus inermis	Phyllurus platurus
Phyllurus platura	Phyllurus platurus
Gymnodactylus inermis	Phyllurus platurus
Gymnodactylus platurus	Phyllurus platurus
Phymaturus antofagastensis	Phymaturus antofagastensis
Centrura flagellifer	Phymaturus antofagastensis
Phymaturus flagellifer	Phymaturus antofagastensis
Phymaturus patagonicus indistinctus	Phymaturus indistinctus
Centrura patagonica indistincta	Phymaturus indistinctus
Phymaturus indistinctus	Phymaturus indistinctus
Phymaturus mallimacci	Phymaturus mallimaccii
Centrura mallimaccii	Phymaturus mallimaccii
Phymaturus mallimaccii	Phymaturus mallimaccii
Phymaturus patagonicus nevadoi	Phymaturus nevadoi
Phymaturus nevadoi	Phymaturus nevadoi
Lacerta palluma	Phymaturus palluma
Centrura flagellifer	Phymaturus palluma
Phymaturus palluma	Phymaturus palluma
Phymaturus palluma palluma	Phymaturus palluma
Uracentron palluma	Phymaturus palluma
Phymaturus adrianae	Phymaturus palluma
Phymaturus gynechlomus	Phymaturus palluma
Phymaturus flagellifer	Phymaturus palluma
Phymaturus patagonicus	Phymaturus patagonicus
Phymaturus palluma patagonicus	Phymaturus patagonicus
Centrura patagonica	Phymaturus patagonicus
Phymaturus patagonicus payuniae	Phymaturus payuniae
Phymaturus payunae	Phymaturus payuniae
Phymaturus payuniae	Phymaturus payuniae
Phymaturus punae	Phymaturus punae
Centrura punae	Phymaturus punae
Phymaturus patagonicus somuncurensis	Phymaturus somuncurensis
Centrura patagonica somuncurensis	Phymaturus somuncurensis
Phymaturus somuncurensis	Phymaturus somuncurensis
Phymaturus patagonicus zapalensis	Phymaturus zapalensis
Centrura patagonica zapalensis	Phymaturus zapalensis
Phymaturus zapalensis	Phymaturus zapalensis
Physignathus cocincinus	Physignathus cocincinus
Physignathus cochinchinensis	Physignathus cocincinus
Lophura concinna	Physignathus cocincinus
Lophura cuvieri	Physignathus cocincinus
Istiurus Cochinsinensis	Physignathus cocincinus
Istiurus physignathus	Physignathus cocincinus
Dilophyrus mentager	Physignathus cocincinus
Physignathus mentager	Physignathus cocincinus
Physignathus cocincinus caudicinctus	Physignathus cocincinus
Physignathus cocincinus mentager	Physignathus cocincinus
Physignatus cocincinus sic	Physignathus cocincinus
Lophura lesueurii	Intellagama lesueurii
Istiurus Lesueurii	Intellagama lesueurii
Iguana paramatensis	Intellagama lesueurii
Physignathus lesueurii	Intellagama lesueurii
Amphibolurus maculiferus	Intellagama lesueurii
Amphibolurus heterurus	Intellagama lesueurii
Amphibolurus branchialis	Intellagama lesueurii
Physignathus lesueuri	Intellagama lesueurii
Intellagama lesueurii	Intellagama lesueurii
Physignathus lesueurii lesueurii	Intellagama lesueurii
Physignathus lesueuerii sic	Intellagama lesueurii
Intellagama leuseurii	Intellagama lesueurii
Intellagama leseureuii	Intellagama lesueurii
Intellagama lesuerii lesuerii	Intellagama lesueurii
Intellagama lesueurii howittii	Intellagama lesueurii howittii
Physignathus lesueurii howitti	Intellagama lesueurii howittii
Intellagama howittii	Intellagama lesueurii howittii
Coluber catenifer	Pituophis catenifer
Pituophis catenifer	Pituophis catenifer
Pituophis wilkesii	Pituophis catenifer
Pityophis heermanni	Pituophis catenifer
Elaphis reticulatus	Pituophis catenifer
Pituophis mexicanus	Pituophis catenifer
Pityophis catenifer	Pituophis catenifer
Pityophis catenifer mexicanus	Pituophis catenifer
Pituophis catenifer rutilus	Pituophis catenifer
Pituophis catenifer stejnegeri	Pituophis catenifer
Pituophis catenifer coronalis	Pituophis catenifer
Pituophis catenifer fuliginatus	Pituophis catenifer
Pituophis melanoleucus catenifer	Pituophis catenifer
Pituophis catenifer affinis	Pituophis catenifer affinis
Pituophis affinis	Pituophis catenifer affinis
Pituophis sayi affinis	Pituophis catenifer affinis
Pituophis melanoleucus affinis	Pituophis catenifer affinis
Pituophis catenifer annectens	Pituophis catenifer annectens
Pituophis annectens	Pituophis catenifer annectens
Pituophis melanoleucus annectens	Pituophis catenifer annectens
Pituophis melanoleucus annectans	Pituophis catenifer annectens
Pituophis catenifer annectans	Pituophis catenifer annectens
Pituophis catenifer catenifer	Pituophis catenifer catenifer
Pituophis melanoleucus catenifer	Pituophis catenifer catenifer
Pituophis catenifer deserticola	Pituophis catenifer deserticola
Pituophis melanoleucus deserticola	Pituophis catenifer deserticola
Pituophis catenifer fulginatus	Pituophis catenifer fulginatus
Pituophis catenifer fuliginatus	Pituophis catenifer fulginatus
Pituophis catenifer bimaris	Pituophis catenifer fulginatus
Pituophis catenifer insulanus	Pituophis catenifer insulanus
Pituophis insulanus	Pituophis catenifer insulanus
Pituophis catenifer pumilus	Pituophis catenifer pumilus
Pituophis melanoleucus pumilis	Pituophis catenifer pumilus
Pituophis catenifer pumilis	Pituophis catenifer pumilus
Pituophis catenifer sayi	Pituophis catenifer sayi
Coluber Sayi	Pituophis catenifer sayi
Coronella Sayi	Pituophis catenifer sayi
Ophibolus Sayi	Pituophis catenifer sayi
Pityophis catenifer sayi	Pituophis catenifer sayi
Pituophis sayi	Pituophis catenifer sayi
Pituophis sayi sayi	Pituophis catenifer sayi
Pituophis melanoleucus	Pituophis catenifer sayi
Pituophis melanoleucus sayi	Pituophis catenifer sayi
Elaphis deppei	Pituophis deppei
Elaphis pleurostictus	Pituophis deppei
Coluber deppii	Pituophis deppei
Pityophis Deppei	Pituophis deppei
Pituophis deppei deppei	Pituophis deppei
Pituophis deppei	Pituophis deppei
Pituophis deppei jani	Pituophis deppei jani
Arizona jani	Pituophis deppei jani
Arizona lineaticollis	Pituophis lineaticollis
Pituophis deppi pholidostictus	Pituophis lineaticollis
Pituophis lineaticollis	Pituophis lineaticollis
Coluber lineaticollis	Pituophis lineaticollis
Pituophis deppei brevilineata	Pituophis lineaticollis
Pituophis deppei	Pituophis lineaticollis
Pituophis lineaticollis lineaticollis	Pituophis lineaticollis
Pituophis lineaticollis gibsoni	Pituophis lineaticollis gibsoni
Pituophis deppei gibsoni	Pituophis lineaticollis gibsoni
Coluber melanoleucus	Pituophis melanoleucus
Pituophis melanoleucus	Pituophis melanoleucus
Churchilla bellona	Pituophis melanoleucus
Pituophis bellona	Pituophis melanoleucus
Rhinechis melanoleucus	Pituophis melanoleucus
Pityophis melanoleucus	Pituophis melanoleucus
Pityophis catenifer bellona	Pituophis melanoleucus
Pituophis melanoleuca	Pituophis melanoleucus
Pituophis melanoleucus lodingi	Pituophis melanoleucus lodingi
Pituophis lödingi	Pituophis melanoleucus lodingi
Pituophis melanoleucus loedingi	Pituophis melanoleucus lodingi
Pituophis melanoleucus melanoleucus	Pituophis melanoleucus melanoleucus
Coluber melanoleucus	Pituophis melanoleucus melanoleucus
Pituophis melanoleucus mugitus	Pituophis melanoleucus mugitus
Pituophis ruthveni	Pituophis ruthveni
Pituophis melanoleucus ruthveni	Pituophis ruthveni
Pituophis catenifer ruthveni	Pituophis ruthveni
Placosoma cipoense	Placosoma cipoense
Placosoma cordylinum cordylinum	Placosoma cordylinum
Placosoma cordylinum	Placosoma cordylinum
Ecpleopus lutzae	Placosoma cordylinum
Placosoma cordylinum champsonotus	Placosoma cordylinum champsonotus
Prionodactylus champsonotus	Placosoma cordylinum champsonotus
Euspondylus cupreus	Placosoma cordylinum champsonotus
Elaphrosaura spitzi	Placosoma cordylinum champsonotus
Cercosaura Urosaura glabella	Placosoma glabellum
Placosoma glabellum	Placosoma glabellum
Placosoma glabella	Placosoma glabellum
Plagiopholis delacouri	Plagiopholis delacouri
Trirhinopholis nuchalis	Plagiopholis delacouri
Trirhinopholis styani	Plagiopholis delacouri
Trirhinopholis nuchalis	Plagiopholis nuchalis
Oligodon evansi	Plagiopholis nuchalis
Plagiopholis nuchalis	Plagiopholis nuchalis
Trirhinopholis styani	Plagiopholis styani
Plagiopholis styani	Plagiopholis styani
Platemys macrocephala	Acanthochelys macrocephala
Phrynops chacoensis	Acanthochelys macrocephala
Peltocephalus dumeriliana	Acanthochelys macrocephala
Acanthochelys macrocephala	Acanthochelys macrocephala
Acanthochelys chacoensis	Acanthochelys macrocephala
Testudo platycephala	Platemys platycephala
Testudo planiceps	Platemys platycephala
Testudo martinella	Platemys platycephala
Emys discolor	Platemys platycephala
Emys canaliculata	Platemys platycephala
Emys carunculata	Platemys platycephala
Emys caniculata	Platemys platycephala
Hydraspis constricta	Platemys platycephala
Emys martirella	Platemys platycephala
Platemys Martinella	Platemys platycephala
Platemys platycephala	Platemys platycephala
Platemys platemys	Platemys platycephala
Platemys platycephala platycephala	Platemys platycephala
Emys radiolata	Acanthochelys radiolata
Platemys Gaudichaudii	Acanthochelys radiolata
Platemys Radiolata	Acanthochelys radiolata
Hydraspis radiolata	Acanthochelys radiolata
Platemys werneri	Acanthochelys radiolata
Platemys radiolata quadrisquamosa	Acanthochelys radiolata
Acanthochelys radiolata	Acanthochelys radiolata
Platypholis fasciata	Homopholis fasciata
Homopholis erlangeri	Homopholis fasciata
Platypholis fasciata fasciata	Homopholis fasciata
Platypholis fasciata erlangeri	Homopholis fasciata
Homopholis fasciata erlangeri	Homopholis fasciata
Homopholis fasciata fasciata	Homopholis fasciata
Homopholis fasciata	Homopholis fasciata
Homopholis mulleri	Homopholis mulleri
Platypholis mulleri	Homopholis mulleri
Geko Walbergii	Homopholis walbergii
Homopholis walbergii	Homopholis walbergii
Homopholis macrolepis	Homopholis walbergii
Homopholus wahlbergi sic	Homopholis walbergii
Platypholis walbergii	Homopholis walbergii
Homopholis wahlbergi	Homopholis walbergii
Homopholis wahlbergii	Homopholis walbergii
Platyplectrurus madurensis madurensis	Platyplectrurus madurensis
Platyplectrurus madurensis	Platyplectrurus madurensis
Wallia inexpectata	Platyplectrurus madurensis
Platyplectrurus madurensis ruhanae	Platyplectrurus madurensis ruhanae
Plectrurus ruhunae	Platyplectrurus madurensis ruhanae
Platyplectrurus madurensis ruhane	Platyplectrurus madurensis ruhanae
Plectrurus trilineatus	Platyplectrurus trilineatus
Platyplectrurus trilineatus	Platyplectrurus trilineatus
Platyplectrurus bilineatus	Platyplectrurus trilineatus
Platysaurus broadleyi	Platysaurus broadleyi
Platysaurus capensis	Platysaurus capensis
Platysaurus guttatus	Platysaurus guttatus
Platysaurus guttatus guttatus	Platysaurus guttatus
Platysaurus imperator	Platysaurus imperator
Platysaurus intermedius intermedius	Platysaurus intermedius
Platysaurus guttatus intermedius	Platysaurus intermedius
Platysaurus intermedius	Platysaurus intermedius
Platysaurus intermedius inopinus	Platysaurus intermedius inopinus
Platysaurus intermedius natalensis	Platysaurus intermedius natalensis
Platysaurus guttatus natalensis	Platysaurus intermedius natalensis
Platysaurus intermedius nigrescens	Platysaurus intermedius nigrescens
Platysaurus intermedius nyasae	Platysaurus intermedius nyasae
Platysaurus guttatus nyasae	Platysaurus intermedius nyasae
Platysaurus intermedius parvus	Platysaurus intermedius parvus
Platysaurus intermedius rhodesianus	Platysaurus intermedius rhodesianus
Platysaurus guttatus rhodesianus	Platysaurus intermedius rhodesianus
Platysaurus intermedius subniger	Platysaurus intermedius subniger
Platysaurus guttatus subniger	Platysaurus intermedius subniger
Platysaurus intermedius wilhelmi	Platysaurus intermedius wilhelmi
Platysaurus wilhelmi	Platysaurus intermedius wilhelmi
Platysaurus guttatus wilhelmi	Platysaurus intermedius wilhelmi
Platysaurus wilhelmi wilhelmi	Platysaurus intermedius wilhelmi
Platysaurus lebomboensis	Platysaurus lebomboensis
Platysaurus maculatus maculatus	Platysaurus maculatus
Platysaurus maculatus	Platysaurus maculatus
Platysaurus maculatus lineicauda	Platysaurus maculatus lineicauda
Platysaurus guttatus minor	Platysaurus minor
Platysaurus minor	Platysaurus minor
Platysaurus mitchelli	Platysaurus mitchelli
Platysaurus monotropis	Platysaurus monotropis
Platysaurus ocellatus	Platysaurus ocellatus
Platysaurus orientalis orientalis	Platysaurus orientalis
Platysaurus minor orientalis	Platysaurus orientalis
Platysaurus guttatus orientalis	Platysaurus orientalis
Platysaurus orientalis fitzsimonsi	Platysaurus orientalis fitzsimonsi
Platysaurus guttatus fitzsimonsi	Platysaurus orientalis fitzsimonsi
Platysaurus fitzsimonsi	Platysaurus orientalis fitzsimonsi
Platysaurus pungweensis pungweensis	Platysaurus pungweensis
Platysaurus guttatus pungweensis	Platysaurus pungweensis
Platysaurus pungweensis blakei	Platysaurus pungweensis blakei
Platysaurus intermedius blakei	Platysaurus pungweensis blakei
Platysaurus guttatus blakei	Platysaurus pungweensis blakei
Platysaurus relictus	Platysaurus relictus
Platysaurus torquatus	Platysaurus torquatus
Platysaurus guttatus torquatus	Platysaurus torquatus
Platysternon megacephalum	Platysternon megacephalum
Platysternon megacephalus	Platysternon megacephalum
Platysternum megacephalum	Platysternon megacephalum
Platysternon platycephalum	Platysternon megacephalum
Platysternum megalocephalum	Platysternon megacephalum
Platysternon macrocephalus	Platysternon megacephalum
Platysternon megacephalum megacephalum	Platysternon megacephalum megacephalum
Platysternon megacephalum tristernalis	Platysternon megacephalum megacephalum
Platysternon megacephalum peguense	Platysternon megacephalum peguense
Platysternon peguense	Platysternon megacephalum peguense
Platysternon megacephalum vogeli	Platysternon megacephalum peguense
Platysternon megacephalum shiui	Platysternon megacephalum shiui
Plectrurus aureus	Plectrurus aureus
Silybura canarica	Pseudoplectrurus canaricus
Plectrurus canaricus	Pseudoplectrurus canaricus
Pseudoplectrurus canaricus	Pseudoplectrurus canaricus
Plectrurus güntheri	Plectrurus guentheri
Plectrurus guentheri	Plectrurus guentheri
Plectrurus perroteti	Plectrurus perroteti
Plectrurus davidsoni	Plectrurus perroteti
Plectrurus perrotetii	Plectrurus perroteti
Tropidurus occipitalis koepckeorum	Microlophus koepckeorum
Tropidurus koepckeorum	Microlophus koepckeorum
Plesiomicrolophus koepckeorum	Microlophus koepckeorum
Microlophus koepckeorum	Microlophus koepckeorum
Pygopus gracilis	Pletholax gracilis
Pletholax gracilis	Pletholax gracilis
Pliocercus wilmarai	Pliocercus wilmarai
Pliocercus elapoides wilmarai	Pliocercus wilmarai
Lacerta muralis bocagei	Podarcis bocagei
Lacerta muralis bocagii	Podarcis bocagei
Lacerta bocagei bocagei	Podarcis bocagei
Lacerta hispanica bocagei	Podarcis bocagei
Podarcis bocagei	Podarcis bocagei
Lacerta dugesii	Teira dugesii
Podarcis dugesii	Teira dugesii
Teira dugesii	Teira dugesii
Teira dugesii jogeri	Teira dugesii jogeri
Podarcis dugesii jogeri	Teira dugesii jogeri
Lacerta Teira dugesii jogeri	Teira dugesii jogeri
Teira dugesii mauli	Teira dugesii mauli
Lacerta dugesii mauli	Teira dugesii mauli
Podarcis dugesii mauli	Teira dugesii mauli
Teira dugesii selvagensis	Teira dugesii selvagensis
Podarcis dugesii selvagensis	Teira dugesii selvagensis
Lacerta Teira dugesii selvagensis	Teira dugesii selvagensis
Lacerta muralis subsp fusca erhardii BEDRIAGA 1882	Podarcis erhardii
Podarcis erhardi	Podarcis erhardii
Podarcis erhardii	Podarcis erhardii
Podarcis erhardii amorgensis	Podarcis erhardii amorgensis
Lacerta erhardii amorgensis	Podarcis erhardii amorgensis
Podarcis erhardii biinsulicola	Podarcis erhardii biinsulicola
Lacerta erhardii biinsulicola	Podarcis erhardii biinsulicola
Podarcis erhardii buchholzi	Podarcis erhardii buchholzi
Lacerta erhardii buchholzi	Podarcis erhardii buchholzi
Podarcis erhardii kinarensis	Podarcis erhardii kinarensis
Lacerta erhardii kinarensis	Podarcis erhardii kinarensis
Podarcis erhardii levithensis	Podarcis erhardii levithensis
Lacerta erhardii levithensis	Podarcis erhardii levithensis
Podarcis erhardii livadiacus	Podarcis erhardii livadiacus
Podarcis erhardii makariaisi	Podarcis erhardii makariaisi
Lacerta erhardii makariaisi	Podarcis erhardii makariaisi
Podarcis erhardii megalophthenae	Podarcis erhardii megalophthenae
Lacerta erhardii megalophthenae	Podarcis erhardii megalophthenae
Podarcis erhardii mykonensis	Podarcis erhardii mykonensis
Lacerta erhardii mykonensis	Podarcis erhardii mykonensis
Podarcis erhardii myconensis  FrÖR &	Podarcis erhardii mykonensis
Podarcis erhardii naxensis	Podarcis erhardii naxensis
Lacerta muralis fusca naxensis	Podarcis erhardii naxensis
Podarcis erhardii ophidusae	Podarcis erhardii ophidusae
Lacerta erhardii ophidusae	Podarcis erhardii ophidusae
Podarcis erhardii pachiae	Podarcis erhardii pachiae
Lacerta erhardii pachiae	Podarcis erhardii pachiae
Podarcis erhardii phytiusae	Podarcis erhardii phytiusae
Lacerta erhardii phytiusae	Podarcis erhardii phytiusae
Podarcis erhardii riveti	Podarcis erhardii riveti
Podarcis erhardii ruthveni	Podarcis erhardii ruthveni
Lacerta erhardii ruthveni	Podarcis erhardii ruthveni
Podarcis erhardii subobscura	Podarcis erhardii subobscura
Lacerta erhardii subobscura	Podarcis erhardii subobscura
Podarcis erhardii syrinae	Podarcis erhardii syrinae
Lacerta erhardii syrinae	Podarcis erhardii syrinae
Podarcis erhardii thermiensis	Podarcis erhardii thermiensis
Lacerta erhardii thermiensis	Podarcis erhardii thermiensis
Podarcis erhardii thessalicus	Podarcis erhardii thessalicus
Lacerta erhardii thessalica	Podarcis erhardii thessalicus
Podarcis erhardii zafranae	Podarcis erhardii zafranae
Lacerta erhardii zafranae	Podarcis erhardii zafranae
Lacerta filfolensis	Podarcis filfolensis
Podarcis filfolensis filfolensis	Podarcis filfolensis
Podarcis filfolensis	Podarcis filfolensis
Podarcis filfolensis generalensis	Podarcis filfolensis generalensis
Lacerta filfolensis generalensis	Podarcis filfolensis generalensis
Podarcis filfolensis kieselbachi	Podarcis filfolensis kieselbachi
Lacerta filfolensis kieselbachi	Podarcis filfolensis kieselbachi
Podarcis filfolensis laurentiimuelleri	Podarcis filfolensis laurentiimuelleri
Lacerta filfolensis laurentiimuelleri	Podarcis filfolensis laurentiimuelleri
Lacerta filfolensis laurentiimülleri	Podarcis filfolensis laurentiimuelleri
Podarcis filfolensis maltensis	Podarcis filfolensis maltensis
Lacerta filfolensis maltensis	Podarcis filfolensis maltensis
Lacerta taurica gaigeae	Podarcis gaigeae
Lacerta erhardii weigandi	Podarcis gaigeae
Podarcis gaigeae weigandi	Podarcis gaigeae
Podarcis gaigeae gaigeae	Podarcis gaigeae
Podarcis taurica gaigeae	Podarcis gaigeae
Podarcis milensis gaigeae	Podarcis gaigeae
Podarcis gaigeae	Podarcis gaigeae
Lacerta oxycephala hispanica	Podarcis hispanicus
Lacerta muralis fusca hesperica	Podarcis hispanicus
Lacerta hispanica	Podarcis hispanicus
Podarcis hispanica	Podarcis hispanicus
Podarcis hispanicus	Podarcis hispanicus
Podarcis liolepis	Podarcis hispanicus
Podarcis hispanicus cebennensis	Podarcis hispanicus cebennensis
Podarcis hispanicus sebastiani	Podarcis hispanicus sebastiani
Zootoca Lilfordi	Podarcis lilfordi
