Synonym	current_species_or_subspecies_name
Acontias percivali occidentalis	Acontias percivali
Acontias percivali percivali	Acontias percivali
Acontias percivalli	Acontias percivali
Acontias plumbeus	Acontias plumbeus
Acontias niger	Acontias plumbeus
Acontias plumbeus plumbeus	Acontias plumbeus
Acontias plumbeus broadleyi	Acontias plumbeus
Acontias poecilus	Acontias poecilus
Acontophiops lineatus	Acontias rieppeli
Typhlosaurus rieppeli	Acontias rieppeli
Acontias rieppeli	Acontias rieppeli
Acrochordus arafurae	Acrochordus arafurae
Hydrus Granulatus	Acrochordus granulatus
Acrochordus fasciatus	Acrochordus granulatus
Pelamis granulatus	Acrochordus granulatus
Chersydrus fasciatus	Acrochordus granulatus
Chersydrus granulatus	Acrochordus granulatus
Acrochordus granulatus	Acrochordus granulatus
Chersydrus annulatus	Acrochordus granulatus
Chersydrus granulatus granulatus	Acrochordus granulatus
Acrochordus granulatus granulatus	Acrochordus granulatus
Acrochordus javanicus	Acrochordus javanicus
Acrochordus javensis sic	Acrochordus javanicus
Potamophis javanica	Acrochordus javanicus
Typhlops infralabialis	Acutotyphlops infralabialis
Typhlops bergi	Acutotyphlops infralabialis
Typhlops adamsi	Acutotyphlops infralabialis
Acutotyphlops infralabialis	Acutotyphlops infralabialis
Acutotyphlops kunuaensis	Acutotyphlops kunuaensis
Typhlops solomonis	Acutotyphlops solomonis
Ramphotyphlops solominis	Acutotyphlops solomonis
Acutotyphlops solomonis	Acutotyphlops solomonis
Typhlops subocularis	Acutotyphlops subocularis
Typhlops subucularis	Acutotyphlops subocularis
Typhlops keasti	Acutotyphlops subocularis
Ramphotyphlops keasti	Acutotyphlops subocularis
Typhlina  subocularis	Acutotyphlops subocularis
Acutotyphlops subocularis	Acutotyphlops subocularis
Ramphotyphlops subocularis	Acutotyphlops subocularis
Adelophis copei	Adelophis copei
Storeria copei	Adelophis copei
Adelophis foxi	Adelophis foxi
Adelphicos daryi	Adelphicos daryi
Adelphicos ibarrorum	Adelphicos ibarrorum
Adelphicos veraepacis latifasciatus	Adelphicos latifasciatum
Adelphicos latifasciatus	Adelphicos latifasciatum
Adelphicos latifasciatum	Adelphicos latifasciatum
Adelphicos veraepacis nigrilatus	Adelphicos nigrilatum
Adelphicos latifasciatus	Adelphicos nigrilatum
Adelphicos veraepacis	Adelphicos nigrilatum
Adelphicos nigrilatus	Adelphicos nigrilatum
Adelphicos nigrilatum	Adelphicos nigrilatum
Adelphicos quadrivirgatus	Adelphicos quadrivirgatum
Adelphicus quadrivirgatum	Adelphicos quadrivirgatum
Adelphicus quadrivirgatum acutirostrum	Adelphicos quadrivirgatum
Adelphicus sic quadrivirgatus	Adelphicos quadrivirgatum
Adelphicos quadrivirgatum	Adelphicos quadrivirgatum
Adelphicos quadrivirgatum newmanorum	Adelphicos quadrivirgatum newmanorum
Adelphicos newmanorum	Adelphicos quadrivirgatum newmanorum
Adelphicos veraepacis	Adelphicos veraepacis
Atheris barbouri	Atheris barbouri
Adenorhinos barbouri	Atheris barbouri
Algiroides africanus	Adolfus africanus
Adolfus fridericianus	Adolfus africanus
Algyroides africanus	Adolfus africanus
Adolfus africanus	Adolfus africanus
Algiroides alleni	Adolfus alleni
Adolfus alleni	Adolfus alleni
Lacerta jacksoni	Adolfus jacksoni
Lacerta jacksoni kibonotensis	Adolfus jacksoni
Adolfus jacksoni	Adolfus jacksoni
Lacerta vauereselli	Congolacerta vauereselli
Algiroides boulengeri	Congolacerta vauereselli
Adolfus vauereselli	Congolacerta vauereselli
Congolacerta vauereselli	Congolacerta vauereselli
Aeluroglena cucullata	Aeluroglena cucullata
Pentadactylus felinus	Aeluroscalabotes felinus
Pentadactylus borneensis	Aeluroscalabotes felinus
Pentadactylus dorsalis	Aeluroscalabotes felinus
